ELD File Header Segment:
RAJ,RAJPAL,DUS456H,CA,567hghg,65
,,,96
015,1XKYDP9X5NJ234589,NA,8D
0001,All Star Elogs Inc,7,000000,04,8E
NA,0,EF
052826,105502,0,0,0,0.0,B7
TEST,AS1955,4AF96C6EC79D88AADF28,Test flag Y,13
User List:
1,D,RAJ,RAJPAL,71
CMV List:
1,015,1XKYDP9X5NJ234589,3F
ELD Event List:
60,1,1,1,1,053126,065214,17,0.6,36.547246,-119.698294,0,1,1,0,0,3F,F3
66,1,1,1,4,060126,090336,0,0.1,36.547221,-119.698294,0,1,1,0,0,3F,83
67,1,1,1,3,060126,092926,0,0.6,36.547199,-119.698453,0,1,1,0,0,3F,5B
68,1,1,2,1,060126,102926,51,1.6,35.976772,-119.295583,0,1,1,0,0,3F,2B
69,1,1,2,1,060126,112926,108,2.6,35.238552,-119.03907,0,1,1,0,0,3F,8B
6A,1,1,1,4,060126,113729,108,2.7,35.239109,-119.038357,0,1,1,0,0,3F,23
6B,1,1,1,1,060126,114629,108,2.8,35.239124,-119.038364,0,1,1,0,0,3F,13
6E,1,1,1,3,060126,120621,0,1.0,35.239288,-119.03839,0,1,1,0,0,3F,83
6F,1,1,1,1,060126,120912,0,1.0,35.236845,-119.0374,0,1,1,0,0,3F,2A
70,1,1,1,3,060126,131850,0,2.2,35.23733,-119.037219,0,1,1,0,0,3F,D2
71,1,1,2,1,060126,141850,43,3.2,35.773269,-119.251692,0,1,1,0,0,3F,B3
72,1,1,2,1,060126,151850,101,4.2,36.544715,-119.593237,0,1,1,0,0,3F,6A
73,1,1,1,1,060126,153237,107,4.4,36.547234,-119.698303,0,1,1,0,0,3F,AB
79,1,1,1,4,060326,081556,0,0.0,36.547262,-119.698318,0,1,1,0,0,3F,FB
7A,1,1,1,3,060326,083949,0,0.4,36.547197,-119.698554,0,1,1,0,0,3F,D8
7B,1,1,1,1,060326,091946,15,1.0,36.724111,-119.773254,0,1,1,0,0,3F,FB
7E,1,1,1,3,060326,095050,0,0.2,36.724093,-119.773103,0,1,1,0,0,3F,BB
7F,1,1,1,1,060326,101815,17,0.6,36.547235,-119.698296,0,1,1,0,0,3F,98
82,1,1,1,3,060326,103331,0,0.1,36.54721,-119.698437,0,1,1,0,0,3F,32
83,1,1,1,4,060326,110542,16,0.8,36.662924,-119.591048,0,1,1,0,0,3F,A3
86,1,1,1,3,060326,123054,0,1.2,36.662989,-119.590508,0,1,1,0,0,3F,DB
87,1,1,2,1,060326,133054,45,2.2,36.160913,-119.333116,0,1,1,0,0,3F,22
88,1,1,1,4,060326,141129,78,2.9,35.775445,-119.130296,0,1,1,0,0,3F,2B
89,1,1,1,1,060326,142725,78,3.2,35.7752,-119.129959,0,1,1,0,0,3F,3B
8C,1,1,1,3,060326,152502,0,0.1,35.77534,-119.13049,0,1,1,0,0,3F,4A
8D,1,1,1,4,060326,161126,25,0.9,35.482931,-119.143752,0,1,1,0,0,3F,33
8E,1,1,1,1,060326,165313,25,1.6,35.48318,-119.143779,0,1,1,0,0,3F,53
8F,1,1,1,3,060326,172245,25,2.1,35.483546,-119.143794,0,1,1,0,0,3F,73
90,1,1,2,1,060326,182245,77,3.1,36.202286,-119.328419,0,1,1,0,0,3F,BB
91,1,1,1,2,060326,190620,112,4.0,36.547239,-119.698333,0,1,1,0,0,3F,AB
ELD Event Annotations or Comments:
Driver's Certification/Recertification Actions:
17,1,052826,195659,052826,1,4C
38,2,052926,235959,052926,1,6C
53,2,053026,130159,053026,1,67
62,2,053126,065559,053126,1,CC
75,2,060126,153651,060126,1,84
93,2,060326,190843,060326,1,C4
Malfunctions and Data Diagnostic Events:
4,3,E,052826,112226,267236,6662.7,1,2D
6,4,E,052826,114817,267248,6663.1,1,92
ELD Login/Logout Report:
1,1,DUS456H,052826,105502,267236,6662.3,40
18,2,DUS456H,052826,195856,267463,6668.4,9E
19,1,DUS456H,052926,085900,267463,6668.4,21
31,2,DUS456H,052926,162704,267603,6673.1,B1
39,1,DUS456H,053026,041633,267710,6675.6,A1
54,2,DUS456H,053026,130333,267958,6682.3,D9
55,1,DUS456H,053126,023400,267958,6682.3,A1
63,2,DUS456H,053126,065700,268070,6685.7,D1
64,1,DUS456H,060126,085801,268070,6685.7,C1
76,2,DUS456H,060126,153700,268285,6692.9,11
77,1,DUS456H,060326,081105,268285,6692.9,19
94,2,DUS456H,060326,190902,268523,6702.6,A9
CMV Engine Power-Up and Shut Down Activity:
2,1,052826,105835,267236,6662.3,36.547235,-119.698293,015,1XKYDP9X5NJ234589,NA,NA,A4
3,3,052826,105938,267236,6662.3,36.547235,-119.698293,015,1XKYDP9X5NJ234589,NA,NA,FC
8,1,052826,114901,267248,6663.1,36.54724,-119.698095,015,1XKYDP9X5NJ234589,NA,NA,B4
E,3,052826,144656,267355,6665.6,35.345663,-118.863798,015,1XKYDP9X5NJ234589,NA,NA,C5
F,1,052826,171029,267355,6665.7,35.345898,-118.863454,015,1XKYDP9X5NJ234589,NA,NA,8D
16,3,052826,195140,267463,6668.4,36.547229,-119.698321,015,1XKYDP9X5NJ234589,NA,NA,EC
1A,1,052926,090031,267463,6668.4,36.547252,-119.698331,015,1XKYDP9X5NJ234589,NA,NA,EC
1E,3,052926,095713,267478,6669.4,36.72417,-119.773243,015,1XKYDP9X5NJ234589,NA,NA,95
1F,1,052926,102543,267478,6669.4,36.724139,-119.773232,015,1XKYDP9X5NJ234589,NA,NA,54
22,3,052926,110313,267495,6670.1,36.547242,-119.698312,015,1XKYDP9X5NJ234589,NA,NA,57
